ds,yhat,yhat_lower,yhat_upper
2020-04-02,3114.627900722368,2700.9331747498527,3501.3030860443882
2020-04-03,3095.173844288005,2730.5484466113503,3481.1054222919342
2020-04-04,3035.466038205072,2650.9221466190434,3408.4800541208347
2020-04-05,3006.6399897987,2613.7595967688294,3357.2191614833328
2020-04-06,2982.4939527440015,2593.409957793868,3384.508944776219
2020-04-07,2953.8821441581767,2562.1863669567765,3336.332208377601
2020-04-08,2922.7075615174786,2532.6542790711214,3296.9484653584277
2020-04-09,2848.312944253609,2469.5033411594395,3221.529710261873
2020-04-10,2828.858887819276,2444.421085271211,3206.5648727740104
2020-04-11,2769.1510817362723,2378.7121709651,3158.548209108836
2020-04-12,2740.3250335162325,2329.4807666051784,3126.7937499608433
2020-04-13,2716.1789966477986,2324.386101369152,3102.4235262437023
2020-04-14,2687.567188248304,2295.9566134562315,3062.8179416727517
2020-04-15,2656.3926057939107,2285.0343229253303,3013.3123507815058
2020-04-16,2581.9979887163695,2198.223250817776,2979.233762120786
2020-04-17,2562.5439324682698,2154.6412085469633,2976.8833554135717
2020-04-18,2502.836126571663,2109.0683451237396,2921.106227749845
2020-04-19,2474.0100783516205,2124.1665638323884,2838.8690625977033
2020-04-20,2449.864041483158,2061.142374034681,2830.347894796842
2020-04-21,2421.2522330014863,2044.999983920164,2815.6000781868615
2020-04-22,2390.0776504649684,2002.7221180848692,2765.1834848737203
2020-04-23,2315.683033305356,1913.1366202131333,2670.108013265566
2020-04-24,2296.2289769751765,1925.5746038225877,2689.455843026512
2020-04-25,2236.52117099639,1854.3190652958776,2610.624811268262
2020-04-26,2207.695122694274,1819.7641944181505,2599.7767772891375
2020-04-27,2183.5490857436575,1814.6150996384858,2549.976849356629
2020-04-28,2154.937277262032,1777.477862977915,2543.614486744771
2020-04-29,2123.7626947255653,1739.5643929169416,2488.579475057438
2020-04-30,2049.368077565913,1649.3455660537072,2446.8453721493947
2020-05-01,2029.9140211428291,1630.423207388041,2407.992011200477
2020-05-02,1970.2062150712368,1594.9739644397846,2348.8580738384508
2020-05-03,1941.3801666762793,1568.3606414601322,2315.658397236906
2020-05-04,1917.2341296327627,1552.7036233460415,2294.046081870317
2020-05-05,1888.6223210582173,1499.2525849569674,2257.6353282799996
2020-05-06,1857.4477384288446,1448.3325367162645,2235.433946481036
2020-05-07,1783.053121176358,1396.8024596017397,2162.1537243022567
2020-05-08,1763.599064753304,1389.481712805457,2120.8041563327374
2020-05-09,1703.8912586816994,1322.014368028101,2077.8856106239978
2020-05-10,1675.0652101795304,1295.7172245290874,2060.0104063862855
2020-05-11,1650.9191730289456,1285.6819316386288,2051.507859281244
